Boss,Subordinate,Immediate?
896,3023,0
182,22070,0
4671,2820,0
3209,1512,0
2273,19479,0
20805,12434,0
20805,3443,1
76045,54129,0
104632,69949,0
40164,729,1
304,7262,0
896,101246,0
2273,111168,1
40164,71380,0
2273,39647,0
76045,96161,0
40164,2940,0
27104,40967,1
2362,20026,1
76045,89006,0
304,605,0
76045,805,0
113114,76702,0
35981,2738,0
14758,71544,0
40164,2243,0
16611,104720,0
2273,2272,1
755,75969,0
896,11351,0
27104,119777,0
27104,40539,0
76045,27095,1
20805,12613,0
755,69521,0
35901,116854,0
755,111183,0
20805,64276,1
20805,47034,0
35981,30323,0
20805,60796,0
27104,2998,0
471,27421,0
76045,101784,0
14758,71891,0
471,115336,0
40164,2480,0
76045,6428,0
102777,27003,1
27104,542,0
4780,8970,0
113447,14326,0
76045,1384,0
35981,18656,0
35981,7238,0
3209,79515,0
111313,21660,0
40164,81093,0
43716,120911,1
2273,63556,0
896,492,0
49468,12194,0
27104,2027,0
104783,85328,0
2378,101372,1
896,2167,0
40164,94774,0
20805,13822,0
113114,76020,0
113114,1917,0
27104,33924,1
2273,2958,0
113114,72284,0
2273,51217,0
16611,28977,0
2273,1607,1
40164,8427,0
2273,3071,0
76045,18289,0
701,104158,0
579,62410,0
755,2712,0
2273,1581,1
2937,5090,1
27104,15112,0
896,96161,0
896,87574,0
6010,6299,1
20805,89637,0
101091,30007,1
35981,29455,0
20805,78386,0
1635,40254,1
40164,3405,0
20805,19385,0
701,3724,0
40164,1209,0
113114,830,0
20805,72284,0
30174,1554,0
755,81524,0
76045,14292,0
76063,71019,0
35981,19479,0
1055,270,1
20805,32146,0
896,27378,0
76045,41808,0
40164,95824,0
81543,5406,0
35981,67858,0
755,384,0
19235,8090,0
2273,26891,1
35981,1706,0
40164,73406,0
755,103861,0
76045,52588,0
896,1344,0
896,1983,0
755,14758,1
113114,2586,0
20805,3526,1
27104,66131,0
755,36401,1
76045,8090,0
20805,75085,0
896,111239,0
755,2373,0
40164,88727,1
76045,8754,0
20805,4667,0
27104,1278,0
701,2148,0
40062,1209,0
701,304,1
92989,18811,0
2273,2082,0
1635,12268,0
76045,1016,0
20805,2808,0
2587,1581,1
27104,11750,0
20805,1044,0
896,2761,0
30174,2297,1
19235,2958,1
40164,55180,0
755,1192,1
35981,12279,0
896,12628,0
4671,3763,0
755,2738,0
63574,65712,1
113114,5063,0
35981,2855,0
20805,2586,0
113447,2482,0
20805,627,0
4780,62551,0
2273,104094,0
896,66114,0
12850,64055,0
896,827,0
2273,47747,0
20805,11978,0
35981,3000,0
35981,28655,0
20805,71380,0
35981,53703,0
755,63638,0
2273,1191,0
12431,54451,0
27104,11978,0
20805,18370,0
13904,146,0
471,3154,0
40164,2205,0
2273,71544,0
40164,21220,0
27104,89006,0
20805,12268,0
896,2615,0
5063,58058,1
35981,838,0
2273,108805,0
40164,81145,0
40164,64323,0
20805,731,0
76045,3230,0
18327,40114,1
27104,8252,0
2483,78386,0
896,103456,0
88829,12285,0
896,19385,0
27104,96413,0
1756,34135,1
2273,63697,0
20805,3763,0
701,116854,0
4827,2506,0
20805,75322,0
2273,18492,1
27104,51492,1
27104,13726,1
40164,81375,0
896,76189,0
27104,27018,0
35981,4367,0
113114,3764,0
40164,76115,0
4671,85328,0
76045,1765,0
27104,4652,0
27104,30923,0
76045,27378,0
471,1855,0
76045,14152,0
113114,18307,0
1895,182,0
755,104837,1
20805,1349,0
4671,231,1
20805,1682,0
40164,33998,0
2273,43826,0
19235,732,1
579,19037,0
35981,2132,0
755,69677,0
76045,344,0
270,231,1
35981,2213,0
35981,69521,0
56700,29519,0
27104,2149,0
4671,58421,0
701,30085,0
19235,2414,1
48944,27889,0
896,24977,0
113114,114438,0
20805,1861,0
35981,75011,0
2273,19162,0
76045,18340,0
40164,89380,0
113114,75969,0
40164,63774,0
755,120911,0
27104,85737,0
2273,27008,0
5425,76977,0
2551,18340,1
76063,84840,0
701,2952,0
27104,72278,0
35981,52590,0
304,40707,0
2587,2437,0
35981,42469,0
2483,104334,0
40164,14423,0
27104,16611,0
27104,861,0
35981,341,0
20805,7913,0
20805,56703,0
701,40114,0
20805,13904,0
755,33924,0
76045,37125,0
755,114734,1
304,40545,0
2273,2344,0
755,108729,0
2273,96252,0
40164,6082,1
27104,88829,0
48944,78386,0
27104,34135,0
113114,19928,0
76045,89580,0
11460,36073,1
40164,838,1
579,40502,0
30174,707,1
40164,47364,0
76045,11290,0
506,8252,1
4671,97947,0
113114,2213,0
20805,2959,1
20805,43482,0
3209,29535,0
27104,101246,0
92989,53860,1
3209,19507,0
4671,1377,0
579,101080,0
7319,13726,0
2273,1219,0
755,66131,0
40164,2376,0
46153,45013,0
2273,2683,0
2273,13697,0
113114,19479,0
896,688,0
76045,2589,0
76045,40121,0
755,704,0
19235,111239,0
20805,72195,0
40164,113821,0
105707,3345,0
76045,120808,0
49468,85399,0
701,3231,1
2273,107214,0
755,3461,1
755,5986,0
5063,64581,1
40164,20607,0
35981,117258,0
27104,1794,0
35981,3424,0
20805,2499,0
113114,85748,0
76045,47650,0
35981,19927,0
40164,30789,0
20805,66114,0
701,111850,0
896,75627,0
27104,8754,0
30174,4854,1
701,35937,0
40164,1932,1
20805,57909,0
35981,3443,0
4780,21660,0
46153,5075,1
113114,5075,0
113114,28940,0
56700,17939,0
27104,6428,1
4827,118362,0
18590,112282,0
12850,75011,1
20805,1765,1
20195,89524,0
20805,29533,0
20805,71627,0
31379,79993,0
4671,86554,0
1840,112487,0
18466,85021,0
896,71891,0
20805,9298,0
3209,35901,1
19235,98889,0
1756,2286,1
113114,27008,0
35981,19551,0
75322,12467,0
27104,85399,0
3720,3154,1
4671,3238,1
76045,2489,0
40164,2683,0
896,3040,0
35981,65542,0
40164,34135,0
896,37125,0
896,18590,0
471,81543,0
701,2107,0
701,263,0
896,111183,0
27104,12467,0
2273,14423,1
896,1191,0
18340,27024,0
113114,2373,0
20805,99419,0
20805,8854,1
896,111102,0
113114,56038,0
896,26999,0
27104,85971,0
27104,49746,0
4671,18892,0
40164,113114,0
76045,76296,0
41637,72545,0
46153,118617,0
40164,1003,0
27104,47551,0
113114,7854,0
48944,111850,0
896,7320,0
7319,35927,1
19235,97374,0
40164,890,0
19235,1564,1
2273,28809,0
40164,30082,0
18590,21063,0
12008,1003,0
19235,12613,0
27104,35894,0
20805,106730,0
92989,58058,0
40164,89569,0
40196,2448,0
40164,2412,1
20805,11224,1
20805,8315,0
27104,13449,0
755,70004,0
35981,5622,0
43716,85564,1
755,732,1
35684,94771,0
701,542,0
27104,1277,1
755,94333,0
27104,102663,0
1895,18355,0
76045,3238,1
18477,2376,0
2273,105687,0
27104,3715,0
76045,6186,0
27104,4854,0
701,80187,0
49468,36528,0
701,3092,0
40164,2001,0
755,35342,1
76045,1756,0
65026,98809,0
20805,79163,0
3715,36999,0
40164,3188,0
20805,2376,0
2712,14292,1
4888,40281,1
49468,95,0
35981,14423,0
20805,65290,0
76045,1581,0
1635,116854,1
896,76020,0
76045,34954,0
12008,65931,0
76045,18275,1
40164,101851,0
40164,1847,0
20805,3720,0
35901,2147,1
579,1786,0
48944,12268,0
755,1653,1
27104,507,0
40164,18492,1
102777,26868,1
40164,41381,0
56700,67799,0
40196,48612,1
40164,22395,0
896,3392,0
76045,6055,0
873,104094,0
2273,77063,0
701,42489,0
1055,6666,0
76063,69611,0
3209,12851,0
18472,65026,1
1055,3154,0
113114,85818,0
27104,729,0
20805,1932,1
755,19793,0
63556,19793,1
755,29455,0
701,4866,0
76045,2525,0
67858,33554,0
76045,12628,0
113114,851,0
76045,31382,0
20805,3646,1
270,117311,0
40196,1507,1
5063,47034,1
2273,1653,0
20805,12433,1
27104,1235,0
46153,75011,0
13904,732,1
35981,75228,0
113114,3726,0
40164,27018,0
113114,66165,0
896,111066,0
113114,66689,0
1557,8252,1
20805,79495,0
40164,45915,0
35981,55131,0
40164,59673,0
20805,16470,0
40164,48770,0
40164,113150,0
270,34166,1
35901,12851,1
27104,27027,0
105707,27324,1
113114,2959,0
20805,2998,0
40164,2082,0
701,63675,0
18466,1895,0
2273,61026,0
896,2491,0
18477,19928,0
304,26884,0
40164,3653,0
76045,36911,0
113114,52227,0
30082,1908,0
701,40165,1
19235,30185,0
12431,10450,0
12008,49190,0
20805,12279,0
20805,2645,0
20805,58825,0
3330,99507,0
20805,40165,1
20805,113968,0
18590,108366,0
701,73406,1
40164,4027,1
40164,93680,0
20805,26422,0
2273,2844,1
40196,88504,0
40164,6882,0
80043,51460,1
20805,2058,0
701,115005,0
20195,64320,0
4780,103674,0
755,5978,1
76045,35931,0
270,506,1
40164,3225,0
3715,2566,0
2273,36138,0
579,70406,0
896,94632,0
27104,92989,0
76045,58421,0
20805,7592,0
113114,4888,0
2243,102902,1
304,3782,0
113114,3392,0
113114,58825,0
4671,27889,0
304,102777,1
4682,6293,1
40164,4700,0
46153,39647,0
40164,12194,0
40164,3583,0
896,15112,0
12850,19220,0
27104,5147,0
896,3424,0
701,32178,0
76045,3726,0
1055,12851,0
40164,36174,0
105707,7549,1
20805,58159,0
40196,114136,0
76045,36383,0
76045,71627,0
896,6299,0
35981,89569,0
49468,7319,1
3209,3189,0
3023,111102,1
18477,70330,0
40164,79163,0
755,89029,0
701,12194,0
40164,11442,0
113114,1488,0
113114,2587,0
40164,11750,0
40164,1391,0
701,2483,0
27104,29542,0
701,2147,0
1999,836,1
27104,3004,0
20805,3188,0
35981,17461,0
27104,19385,0
40164,31786,0
40164,1286,0
896,27008,0
7319,29535,0
4827,1209,0
701,88913,0
35981,108729,0
113114,94070,0
20805,43826,0
3209,112745,0
40164,18427,1
27104,28338,0
896,54129,0
76045,13822,0
76045,1436,0
471,12661,0
270,3215,1
896,2762,0
40164,29845,0
4671,18275,1
4671,24090,0
755,42868,0
40164,2272,0
20805,1444,0
5629,51399,0
49468,2820,0
76045,42936,0
4671,11219,0
16611,69005,0
896,6066,0
4780,99507,1
20805,1565,0
40164,2167,0
20805,91386,0
27104,85770,1
27104,27071,0
755,100141,0
20805,47005,0
270,1277,1
113114,6066,0
27104,43713,0
40164,2502,0
270,13726,0
40164,818,0
19235,89569,1
30174,887,0
2273,53860,0
3720,20874,1
76045,11334,0
27104,1706,0
48944,59855,0
896,5379,0
755,3237,0
18590,115014,0
18327,76115,1
113114,71380,0
76045,2808,0
27104,40537,1
5063,2683,1
19235,4897,1
63556,51217,1
18590,104808,1
20805,1016,0
896,69521,0
20805,40153,0
2273,6120,1
2378,2958,1
896,2213,0
40164,56729,0
18477,11978,0
701,49616,0
27104,3804,0
20805,905,1
76045,1794,0
27104,111231,0
896,2132,0
58825,66165,1
1786,63638,0
2273,1521,0
20805,2542,0
896,94725,0
2835,40174,1
40164,114136,0
3209,1848,0
20805,11422,0
76045,20865,0
56700,40927,0
40164,76124,0
471,117311,0
35981,1208,0
20805,42489,0
7319,31388,1
755,6055,0
113114,43826,0
20805,30317,0
40164,4816,0
40164,29549,0
40164,12279,1
113114,40967,0
76045,1653,0
270,2230,1
896,1761,0
40164,28924,0
63574,25496,1
18327,114589,1
40164,18533,1
20805,1681,1
40164,1231,0
701,627,0
111573,600,0
18327,2126,1
755,1581,0
755,8970,0
20805,27095,1
76045,40266,0
4671,54091,0
113114,1682,0
27104,52065,0
2273,89580,0
20805,71019,0
35981,120142,0
27104,7118,0
20805,35975,0
40164,40652,0
3209,35985,0
896,51460,0
3209,1349,0
4671,41118,0
16611,19793,0
27104,90204,0
48944,114015,1
20805,72529,0
3209,49468,1
3720,13726,0
1004,112831,0
20805,18511,0
27104,11429,0
40164,1206,0
2841,36130,1
755,3356,0
20805,31383,1
27104,49148,0
20805,27903,0
755,3773,1
40164,58159,0
27104,43896,0
49468,18511,0
113114,8105,0
18327,1635,1
63797,13951,1
20805,80625,0
2273,490,0
20805,18785,0
896,85564,0
65026,11422,0
76045,27021,0
896,88504,0
27104,3277,0
113114,732,0
20805,114734,0
40164,7319,1
76045,765,0
27104,3496,0
896,873,0
27104,34152,0
40164,11230,0
3209,112487,0
92989,18641,0
2841,20464,1
20805,101095,0
20805,54116,0
40164,5970,0
40164,3726,0
20805,2958,0
2273,805,1
471,18478,0
3381,117311,0
18477,7913,0
76045,11370,0
30174,60376,0
20805,11838,0
20805,28830,0
49468,31388,0
40164,2377,0
3209,5140,0
20805,85737,0
1599,12467,1
905,899,1
27104,12850,0
30323,4741,1
20805,70004,0
20805,19482,0
2273,2909,0
27104,3337,0
102777,11317,1
40164,40927,1
896,19479,0
4671,26913,1
20805,37125,0
701,18472,0
113114,3703,0
76045,48612,0
701,618,0
3209,4866,0
27104,4843,0
701,18355,0
2273,101372,0
2273,1565,1
35981,11220,0
35981,3487,0
2273,890,0
2378,94632,1
19235,1505,0
113114,4897,0
16611,26989,0
2587,71768,1
304,2243,1
113114,44892,0
35981,115014,0
40164,58842,0
896,3594,0
30174,1342,0
40164,18570,0
2273,94070,0
58777,2820,1
4671,75343,0
40164,28816,0
35981,77063,0
4827,19718,0
20805,1653,0
755,26935,0
35981,39647,0
76045,490,0
896,103347,0
40164,35990,0
701,75518,0
35981,2167,0
76063,56551,0
113114,18612,0
18327,6666,1
701,3763,0
76045,40302,0
896,120142,0
701,6816,0
102777,29146,1
2273,64581,0
701,37772,0
19235,2492,1
40164,18370,1
2273,17312,1
76063,97429,0
755,85364,0
2147,26990,1
896,18656,0
18327,1840,1
3209,1377,0
49468,4843,0
896,7854,0
27104,212,0
20805,81031,0
20805,1848,0
896,111313,0
40164,114746,0
113114,89029,0
76045,11220,0
896,40541,0
2273,19760,0
49468,11219,0
76045,54091,0
89380,2791,0
896,111168,0
896,1208,0
76045,2202,1
27104,1191,0
35981,2619,0
20805,3374,1
46153,146,0
35981,44892,0
40164,72545,0
20805,89537,0
701,29947,1
35981,22326,0
35981,75969,0
27104,890,1
40164,18355,0
28701,3443,1
20805,40652,0
27104,110994,0
896,92391,0
65026,9002,0
49468,12628,0
58777,389,1
113114,688,0
46153,27027,1
20805,40541,0
79848,45006,0
20195,12609,0
20805,3025,1
113114,74742,0
5063,1208,1
40164,891,0
755,108805,0
19235,3443,1
49468,11290,0
14758,101851,0
40164,27903,0
35981,3071,0
701,827,0
104632,64231,1
92989,63774,0
5063,79163,1
40196,46660,0
40164,36401,0
30174,71627,0
40164,20805,1
2841,2368,1
76045,6471,0
701,6605,0
2273,6055,0
113114,1650,0
3740,1075,0
27104,31786,0
3209,29146,0
40164,1788,0
1599,2376,0
27104,22190,0
35981,8090,0
40164,14318,0
104632,26989,0
14758,71160,0
46153,10450,0
76045,17312,0
4671,52065,0
76045,35894,0
20805,112409,0
1055,3720,0
35981,18989,0
27104,1839,0
35981,3459,0
40164,41201,0
40164,270,1
27104,55180,0
113114,55063,0
31379,72195,0
20805,11350,0
701,41637,0
20805,99,0
40164,29044,0
76045,40502,0
27104,22395,0
701,56551,0
40164,22022,0
40164,36292,0
113114,3356,0
40164,1840,0
16611,15112,0
76045,63697,0
20805,500,0
40164,89273,0
18327,51399,0
46153,30789,0
63574,89761,1
19235,27313,0
1756,4857,1
4671,20464,0
113114,3471,0
48944,49616,0
20805,65925,0
56700,25104,0
76045,270,1
579,75969,0
76045,52048,0
18327,89524,1
20805,27055,0
755,27008,1
27104,5470,0
72195,19866,1
76045,94080,0
27104,75627,0
755,1682,1
20805,6816,0
755,19551,1
35981,120911,0
3427,3092,1
896,35922,0
40164,72176,0
76045,2524,0
4780,71380,0
40164,118710,0
20805,101856,0
2273,199,0
20805,116854,0
35901,27421,0
40164,88829,0
40164,18477,1
40164,6471,0
1994,51492,1
701,120808,0
471,2147,0
27104,28331,0
40164,731,1
755,4857,0
113114,21348,0
14758,51885,0
896,33924,0
27313,47034,0
20805,101634,0
2551,21959,1
3804,1016,1
1492,506,1
40164,49468,1
896,1075,0
3209,16470,0
46153,58058,0
2273,3715,1
20805,7840,0
76045,74697,0
40164,88994,0
27104,58421,1
27104,40541,0
40164,21150,0
896,96870,0
896,11224,0
471,5975,0
4671,1498,0
304,77020,0
3209,938,0
35981,18492,0
49468,2958,0
49468,6666,0
701,58777,0
102777,2243,1
46153,111239,0
113114,29551,0
896,704,0
113114,2202,0
40164,2482,1
701,29146,0
896,29549,0
27104,27378,0
27104,2855,0
76045,3589,0
2273,5970,1
40164,54083,0
27104,58825,0
579,5063,0
20805,2263,0
27104,36162,0
27104,12279,0
27104,18492,0
102777,12771,1
896,29551,0
755,89341,0
27104,47822,0
40164,71482,0
113114,117270,0
579,63797,0
755,27024,1
3209,2226,0
1055,13822,0
471,231,0
4671,40266,0
20805,52579,0
896,55131,0
40164,8966,0
20805,96306,0
40164,112401,0
76045,4850,0
2412,90131,1
27104,36383,0
20805,182,0
56700,500,0
20805,54121,0
92989,12431,0
20805,11338,0
46153,17167,0
40164,1861,0
49468,4027,0
40164,36344,0
20805,117270,0
20805,81612,0
35981,89580,0
27104,4960,0
896,91386,0
2273,11441,1
755,3000,1
2273,75011,0
40164,5090,0
40164,2782,0
471,2532,1
40164,796,0
3209,3188,0
4671,108937,0
20805,26891,1
18327,48770,0
40164,59642,0
27104,85328,0
701,1848,0
27104,38633,0
113114,2603,0
76045,98324,1
18477,77973,0
20805,688,0
701,27324,0
40164,1384,0
2230,79515,0
76045,18892,0
35981,70406,0
76045,78024,0
113114,11370,0
20805,66689,0
27104,2344,0
20805,114621,0
755,4821,0
40196,89380,1
19235,118617,0
40164,932,0
113114,2362,0
40164,2834,1
76045,21220,0
40196,3496,0
2937,6471,0
20805,56729,0
3089,18405,1
16611,18460,0
5063,35894,1
896,101372,0
40164,2273,1
4780,111239,0
35981,384,0
579,1208,0
27104,18478,0
2273,1436,0
81543,32891,0
20805,104837,0
18477,108805,0
4671,72241,0
27104,35985,0
113114,360,0
905,40253,0
2273,63638,0
76045,26954,0
76045,2837,0
27104,75617,0
896,35793,0
2937,1393,1
20805,40870,0
2587,18492,1
113114,40214,0
18477,86554,0
76045,71701,0
113114,108805,0
113114,28331,0
2273,905,1
35981,755,1
2603,4888,0
4671,1944,0
755,96161,0
20805,7262,0
2273,88504,0
701,3336,0
18327,11219,1
20805,999,0
2835,27003,1
1055,28436,0
4671,2909,0
4902,12279,0
40164,35743,0
7319,12661,1
755,95487,0
105707,36292,0
2273,15737,0
76045,44728,0
113114,47034,0
304,2377,0
1055,3763,0
4671,40302,0
76045,4741,0
40164,44677,0
40164,375,0
35981,6471,0
76045,1682,0
3209,1855,0
20805,11421,0
17312,78743,1
755,949,0
92989,72195,1
755,2761,0
2378,1564,1
20805,112733,0
40164,96306,0
896,1907,0
56700,48770,0
18656,2149,1
20805,12931,0
2273,1044,0
270,8252,0
20805,117258,0
20805,14758,1
896,3405,0
35981,64581,0
896,1681,0
2273,31379,0
19235,21660,0
5063,27903,1
40164,3427,0
579,13904,0
4780,3330,1
18477,111575,0
40164,11429,1
701,3615,0
579,55348,0
2712,12659,1
5425,99404,0
20805,20865,1
2603,40281,1
701,7549,0
27104,119151,0
896,18612,0
2551,2731,1
76045,2532,0
40164,28977,0
114589,12661,1
49190,49187,0
896,87088,0
113447,49232,0
16611,120142,0
20805,96918,0
76045,905,1
40164,111166,0
31379,63774,1
14004,113968,1
35981,52588,0
20805,1125,1
2841,52772,0
896,65293,0
20805,89580,0
896,26989,0
20805,118324,0
270,20874,1
58842,54091,0
35981,19965,0
40164,26947,0
270,1492,1
40164,610,0
6066,103861,0
30185,12499,0
4827,56700,1
27104,104258,0
113114,40537,0
46153,1505,1
40164,19507,0
76045,56729,0
5425,71584,0
27104,2578,1
4671,11290,0
755,75627,0
20805,21562,0
701,5389,0
