UID,FirstName,AmbiguityScore,Gender,EmployeeType
363,Inc,NotFound,I,NonCore
364,Cassie,3.280929597,F,NonEnron
365,None,NotFound,I,NonEnron
366,None,NotFound,I,NonEnron
367,Carrie,0.849984967,F,NonCore
368,Eric,0.948240009,M,NonCore
369,None,NotFound,I,NonEnron
370,None,NotFound,I,NonEnron
371,None,NotFound,I,NonEnron
372,None,NotFound,I,NonEnron
373,Clarian,NotFound,I,NonCore
374,None,NotFound,I,NonEnron
375,Joe,5.321591423,M,NonCore
376,None,NotFound,I,NonEnron
377,Erik,0.983675668,M,NonCore
378,Tracy,40.39381444,F,NonCore
379,None,NotFound,I,NonEnron
380,Burner,NotFound,I,NonEnron
381,None,NotFound,I,NonEnron
382,Mercedes,1.64363093,F,NonCore
383,Miyung,NotFound,I,NonCore
384,Jeff,0,M,Core
385,None,NotFound,I,NonEnron
386,None,NotFound,I,NonEnron
387,Darron,0.316455696,M,NonCore
388,None,NotFound,I,NonEnron
389,Tom,0.62200817,M,NonCore
390,Laurie,1.675667824,F,NonCore
391,Lily,0.143533802,F,NonCore
392,Pravin,NotFound,I,NonCore
393,Michael,0.898324087,M,NonCore
394,Jesse,2.837427013,M,NonCore
395,None,NotFound,I,NonEnron
396,18005043972,NotFound,I,NonEnron
397,Flowerscom,NotFound,I,NonEnron
398,Flowerscom,NotFound,I,NonEnron
399,Flowerscom,NotFound,I,NonEnron
400,Flowerscom,NotFound,I,NonEnron
401,Flowerscom,NotFound,I,NonEnron
402,Flowerscom,NotFound,I,NonEnron
403,Com,NotFound,I,NonEnron
404,Flowerscom,NotFound,I,NonEnron
405,Com,NotFound,I,NonEnron
406,Com,NotFound,I,NonEnron
407,Com,NotFound,I,NonEnron
408,Flowerscom,NotFound,I,NonEnron
409,Flowerscom,NotFound,I,NonEnron
410,Com,NotFound,I,NonEnron
411,Flowerscom,NotFound,I,NonEnron
412,Flowerscom,NotFound,I,NonEnron
413,Com,NotFound,I,NonEnron
414,Com,NotFound,I,NonEnron
415,Flowerscom,NotFound,I,NonEnron
416,Com,NotFound,I,NonEnron
417,Com,NotFound,I,NonEnron
418,Com,NotFound,I,NonEnron
419,Flowerscom,NotFound,I,NonEnron
420,Flowerscom,NotFound,I,NonEnron
421,Flowerscom,NotFound,I,NonEnron
422,Com,NotFound,I,NonEnron
423,Flowerscom,NotFound,I,NonEnron
424,Flowerscom,NotFound,I,NonEnron
425,Com,NotFound,I,NonEnron
426,Flowerscom,NotFound,I,NonEnron
427,Flowerscom,NotFound,I,NonEnron
428,Flowerscom,NotFound,I,NonEnron
429,Com,NotFound,I,NonEnron
430,Flowerscom,NotFound,I,NonEnron
431,Flowerscom,NotFound,I,NonEnron
432,Flowerscom,NotFound,I,NonEnron
433,Com,NotFound,I,NonEnron
434,Com,NotFound,I,NonEnron
435,Flowerscom,NotFound,I,NonEnron
436,Com,NotFound,I,NonEnron
437,Flowerscom,NotFound,I,NonEnron
438,Com,NotFound,I,NonEnron
439,Com,NotFound,I,NonEnron
440,Com,NotFound,I,NonEnron
441,Flowerscom,NotFound,I,NonEnron
442,Flowerscom,NotFound,I,NonEnron
443,Flowerscom,NotFound,I,NonEnron
444,Flowerscom,NotFound,I,NonEnron
445,Flowerscom,NotFound,I,NonEnron
446,Flowerscom,NotFound,I,NonEnron
447,Flowerscom,NotFound,I,NonEnron
448,Flowerscom,NotFound,I,NonEnron
449,Flowerscom,NotFound,I,NonEnron
450,Flowerscom,NotFound,I,NonEnron
451,Flowerscom,NotFound,I,NonEnron
452,Flowerscom,NotFound,I,NonEnron
453,Flowerscom,NotFound,I,NonEnron
454,Flowerscom,NotFound,I,NonEnron
455,Flowerscom,NotFound,I,NonEnron
456,Flowerscom,NotFound,I,NonEnron
457,Flowerscom,NotFound,I,NonEnron
458,Flowerscom,NotFound,I,NonEnron
459,Flowerscom,NotFound,I,NonEnron
460,Flowerscom,NotFound,I,NonEnron
461,None,NotFound,I,NonEnron
462,None,NotFound,I,NonEnron
463,None,NotFound,I,NonEnron
464,None,NotFound,I,NonEnron
465,Sunita,0,F,NonCore
466,Allison,7.035216375,F,NonCore
467,Joy,2.321269897,F,NonCore
468,Kevin,0.957393257,M,NonCore
469,Bud,0,M,NonCore
470,Mark,0.559861654,M,NonCore
471,Eric,0.948240009,M,NonCore
472,Team,NotFound,I,NonCore
473,None,NotFound,I,NonEnron
474,None,NotFound,I,NonEnron
475,Michael,0.898324087,M,NonCore
476,Ramona,0.754854812,F,NonCore
477,None,NotFound,I,NonEnron
478,None,NotFound,I,NonEnron
479,None,NotFound,I,NonEnron
480,Mark,0.559861654,M,NonCore
481,Rahul,0,M,NonCore
482,Cheryl,0.441408353,F,NonCore
483,Internal,NotFound,I,NonCore
484,Robin,24.38892525,F,NonCore
485,Eddie,10.69499559,M,NonCore
486,Kenneth,0.740739916,M,NonCore
487,Binh,0,M,NonCore
488,Ed,0.094906675,M,NonCore
489,Troy,2.800899253,M,NonCore
490,Di,0,F,NonCore
491,Ray,3.143279769,M,NonCore
492,Mary,0.771925228,F,NonCore
493,None,NotFound,I,NonEnron
494,None,NotFound,I,NonEnron
495,Charlene,0.637422064,F,NonCore
496,None,NotFound,I,NonEnron
497,Mary,0.771925228,F,NonCore
498,Tobey,96.64209664,M,NonCore
499,Timmy,1.578428149,M,NonCore
500,Chad,0.880790215,M,NonCore
501,None,NotFound,I,NonEnron
502,Brent,0.783099858,M,NonCore
503,Becki,0,F,NonCore
504,Tracey,17.16201915,F,NonCore
505,Joseph,0.773648964,M,NonCore
506,Lora,0.682926829,F,NonCore
507,Jeff,0.418750947,M,NonCore
508,Debora,0.209643606,F,NonCore
509,Kevin,0.957393257,M,NonCore
510,None,NotFound,I,NonCore
511,Nathaniel,1.857821352,M,NonCore
512,Jim,0.684509435,M,NonCore
513,Fernanda,8.08988764,F,NonCore
514,Team,NotFound,I,NonCore
515,Maggie,0.688415104,F,NonCore
516,Dan,0.697166675,M,NonCore
517,None,NotFound,I,NonEnron
518,None,NotFound,I,NonEnron
519,None,NotFound,I,NonCore
520,Jack,0.728806212,M,NonCore
521,Kris,90.63650477,F,NonCore
522,Pamela,0.447566244,F,NonCore
523,Greg,0.378120202,M,NonCore
524,None,NotFound,I,NonEnron
525,None,NotFound,I,NonEnron
526,None,NotFound,I,NonEnron
527,Keith,0.937046453,M,NonCore
528,Stacey,20.78895273,F,NonCore
529,Johnny,2.139598581,M,NonCore
530,Kevin,0.957393257,M,NonCore
531,Frank,0.878681758,M,NonCore
532,Peter,0.592872332,M,NonCore
533,Giovanna,0,F,NonCore
534,Bernie,27.15213096,M,NonCore
535,Ace,0,M,NonEnron
536,Zarin,NotFound,I,NonCore
537,Ada,0.362056481,F,NonCore
538,Deborah,0.442897548,F,NonCore
539,Anne,0.519989491,F,NonCore
540,Mollie,0.142189722,F,NonCore
541,Peter,0,M,Core
542,Kerry,92.13883121,M,NonCore
543,Allan,0.512754362,M,NonCore
544,Jason,1.002792556,M,NonCore
545,Lerea,NotFound,I,NonCore
546,Joan,0.872866306,F,NonCore
547,Bob,0.599400599,M,NonCore
548,None,NotFound,I,NonEnron
549,Chad,0.880790215,M,NonCore
550,Angela,0.595481579,F,NonCore
551,Erick,1.309202926,M,NonCore
552,Dianna,0.215841896,F,NonCore
553,Grant,0.238056148,M,NonCore
554,Richard,0.642741043,M,NonCore
555,Melissa,0.595496079,F,NonCore
556,Tom,0.62200817,M,NonCore
557,Bryan,0.815553354,M,NonCore
558,Teamhugotonse,NotFound,I,NonCore
559,Daniel,0.734266824,M,NonCore
560,Janet,0.512932423,F,NonCore
561,Derry,22.07896857,M,NonCore
562,Karen,0.480579758,F,NonCore
563,Randy,3.168992672,M,NonCore
564,Jamie,69.62479762,F,NonCore
565,Kevin,0.957393257,M,NonCore
566,None,NotFound,I,NonEnron
567,Susan,0.439794775,F,NonCore
568,None,NotFound,I,NonEnron
569,Mary,0.771925228,F,NonEnron
570,Scott,0.612355466,M,NonCore
571,Stephen,0.571884443,M,NonCore
572,Cheryal,0,F,NonCore
573,Jwhalan,NotFound,I,NonCore
574,Boyd,0.129971406,M,NonCore
575,Enron,NotFound,I,NonCore
576,George,1.322297324,M,NonCore
577,Douglas,0.607728833,M,NonCore
578,Gerald,0.99840431,M,NonCore
579,Philippe,0,M,NonCore
580,Crissy,0,F,NonCore
581,Ebecca,0,F,Core
582,Ursula,0,F,NonCore
583,Veronica,0.677258054,F,NonCore
584,Vickie,0.726285741,F,NonCore
585,Jan,47.23497236,F,NonCore
586,,NotFound,I,NonCore
587,Norma,0.952392206,F,NonCore
588,Stephanie,0.624341947,F,NonCore
589,Cece,0,F,NonCore
590,Csc,NotFound,I,NonEnron
591,Bilal,0,M,NonCore
592,Ken,0.145523338,M,NonCore
593,Michael,0.898324087,M,NonCore
594,Douglas,0.607728833,M,NonCore
595,Mary,0.771925228,F,NonCore
596,Tim,0.48073235,M,NonCore
597,Kirsten,1.006549466,F,NonCore
598,Ann,0.587971066,F,NonCore
599,Dorothy,0.859568964,F,NonCore
600,Simone,4.667124228,F,NonCore
601,Delishea,NotFound,I,NonCore
602,James,0.809471815,M,NonCore
603,Marilyn,0.581612208,F,NonCore
604,Sylvia,0.798349176,F,NonCore
605,Margaret,0.63112341,F,NonCore
606,Bob,0.599400599,M,NonCore
607,Karen,0.480579758,F,NonCore
608,Pamela,0.447566244,F,NonCore
609,Mark,0.559861654,M,NonCore
610,Mary,0.771925228,F,NonCore
611,Olivier,0,M,NonCore
612,Ravi,2.380952381,M,NonCore
613,April,0.526867175,F,NonCore
614,Matthew,0.730933363,M,NonCore
615,Amin,0,M,NonCore
616,Ladonna,0,F,NonCore
617,Jason,0,M,Core
618,Cynthia,0.491960523,F,NonCore
619,Gene,5.712314303,M,NonCore
620,Scott,0.612355466,M,NonCore
621,Celeste,0.168563,F,NonCore
622,Zakia,0,F,NonCore
623,Swen,0,M,NonCore
624,Jay,2.48140882,M,NonCore
625,Brian,0.682515661,M,NonCore
626,Team,NotFound,I,NonCore
627,Caroline,0.267761199,F,NonCore
628,Entire,NotFound,I,NonEnron
629,Charlie,11.19474949,M,NonCore
630,Markus,0,M,NonCore
631,Jaime,91.93497968,M,NonCore
632,Sherry,0.776393884,F,NonCore
633,Peter,0.592872332,M,NonCore
634,Jane,0.603627391,F,NonCore
635,Rebecca,0.569669299,F,NonCore
636,Cathy,0.422177228,F,NonCore
637,Peter,0.592872332,M,NonCore
638,Edward,0.800135139,M,NonCore
639,Steven,0.588763263,M,NonCore
640,Gail,5.738761467,F,NonCore
641,Linda,0.502233144,F,NonCore
642,Bernard,0.952298999,M,NonCore
643,Lori,0.48518054,F,NonCore
644,Kevin,0.957393257,M,NonCore
645,Deshonda,0,F,NonCore
646,Jean,5.865737041,F,NonCore
647,Casey,47.64345002,M,NonCore
648,James,0.809471815,M,NonCore
649,Dennis,0.682505107,M,NonCore
650,Bill,0.590228982,M,NonCore
651,Anita,0.650066245,F,NonCore
652,Todd,0.70587288,M,NonCore
653,Jonathan,0.868189231,M,NonCore
654,Holiday,0,F,NonEnron
655,Grcoach,NotFound,I,NonEnron
656,Johnny,2.139598581,M,NonEnron
657,None,NotFound,I,NonEnron
658,None,NotFound,I,NonEnron
659,None,NotFound,I,NonEnron
660,System,NotFound,I,NonEnron
661,None,NotFound,I,NonEnron
662,Watson,0,M,NonEnron
663,Scott,0.612355466,M,NonCore
664,Com,NotFound,I,NonEnron
665,Greetings,NotFound,I,NonEnron
666,Alyssa,0,F,NonEnron
667,None,NotFound,I,NonCore
668,None,NotFound,I,NonEnron
669,1,NotFound,I,NonEnron
670,1,NotFound,I,NonEnron
671,2002,NotFound,I,NonEnron
672,Maria,1.423044525,F,NonCore
673,Frank,0.878681758,M,NonCore
674,Hendra,NotFound,I,NonCore
675,None,NotFound,I,NonEnron
676,Ulf,NotFound,I,NonCore
677,Ines,19.30783242,F,NonCore
678,Sigrid,0,F,NonCore
679,Kenneth,0.740739916,M,NonCore
680,Jana,0.144681159,F,NonCore
681,Lester,1.832452448,M,NonCore
682,Robin,24.38892525,F,NonCore
683,Elise,0,F,NonCore
684,Ann,0.587971066,F,NonCore
685,Kathleen,0.475639316,F,NonCore
686,Martin,0.844132061,M,NonCore
687,Mohamed,0,M,NonCore
688,George,1.322297324,M,NonCore
689,Mike,0.652273932,M,NonCore
690,Joan,0.872866306,F,NonCore
691,Jason,1.002792556,M,NonCore
692,Team,NotFound,I,NonCore
693,None,NotFound,I,NonEnron
694,None,NotFound,I,NonEnron
695,None,NotFound,I,NonEnron
696,Angie,0.473004512,F,NonCore
697,Eduardo,0.780400435,M,NonCore
698,None,NotFound,I,NonEnron
699,Robert,0.735430845,M,NonCore
700,Joe,5.321591423,M,NonCore
701,Stan,0,M,Core
702,Jay,2.48140882,M,NonCore
703,Nadeem,0,M,NonCore
704,Mark,0.559861654,M,NonCore
705,Gerald,0.99840431,M,NonCore
706,Ben,0.921201423,M,NonCore
707,Elsa,0.325170206,F,NonCore
708,Teamsanjuan,NotFound,I,NonCore
709,Ben,0.921201423,M,NonCore
710,Keith,0.937046453,M,NonCore
711,Ken,0.145523338,M,NonCore
712,Gregory,0.767939597,M,NonCore
713,Marc,0.744005036,M,NonCore
714,Mike,0.652273932,M,NonCore
715,John,0.728227303,M,NonCore
716,Paul,0.716978514,M,NonCore
717,Tricia,0.415694282,F,NonCore
718,Targitmail,NotFound,I,NonEnron
719,Targitmail,NotFound,I,NonEnron
720,Targitmail,NotFound,I,NonEnron
721,Targitmail,NotFound,I,NonEnron
722,Targitmail,NotFound,I,NonEnron
724,Targitmail,NotFound,I,NonEnron
726,Lance,0.65743487,M,NonCore
727,None,NotFound,I,NonEnron
728,Jo,1.377538404,F,NonCore
729,Eric,0.948240009,M,NonCore
730,Robert,0.735430845,M,NonCore
731,Elizabeth,0.668081184,F,NonCore
732,Jeff,0,M,Core
733,Cecilia,0.230501052,F,NonCore
734,Ruthe,0,F,NonCore
735,Unal,NotFound,I,NonCore
736,Brad,0.478775999,M,NonCore
737,Johnnie,64.71019468,M,NonCore
738,Nigel,4.454022989,M,NonCore
739,Anthony,1.148076648,M,NonCore
740,Lana,0.093767581,F,NonCore
741,Cindy,0.449862835,F,NonCore
742,Beth,0.403819064,F,NonCore
743,Sandy,24.08577839,F,NonCore
744,Neel,0,M,NonCore
745,Diana,0.548731693,F,NonCore
746,Belinda,0.365990505,F,NonCore
747,Marilyn,0.581612208,F,NonCore
748,Brian,0.682515661,M,NonCore
749,Steve,0.672243959,M,NonCore
750,Mike,0.652273932,M,NonCore
751,Michael,0.898324087,M,NonCore
752,Amy,0.520900338,F,NonCore
753,Stephen,0.571884443,M,NonCore
754,John,0.728227303,M,NonCore
755,Ndrew,0,M,Core
756,Adolfo,0,M,NonCore
757,Rod,0,M,NonCore
758,Wayne,0.756867203,M,NonCore
759,None,NotFound,I,NonEnron
760,Rafael,1.818095283,M,NonCore
761,George,1.322297324,M,NonCore
762,Myrna,0.324011572,F,NonCore
763,Ivan,1.011618957,M,NonCore
764,Reuben,0.11662941,M,NonCore
765,George,1.322297324,M,NonCore
766,Sophie,0,F,NonCore
767,David,0.628882614,M,NonCore
768,Joni,1.612979743,F,NonCore
769,John,0.728227303,M,NonCore
770,None,NotFound,I,NonEnron
771,Roger,0.70065013,M,NonCore
772,John,0.728227303,M,NonCore
773,None,NotFound,I,NonEnron
774,Kevin,0.957393257,M,NonCore
775,Patrick,0.846839117,M,NonCore
776,Randy,3.168992672,M,NonCore
777,Phil,0.474419797,M,NonCore
778,Glen,1.736563139,M,NonCore
779,Annette,0.695894224,F,NonCore
780,Team,NotFound,I,NonCore
781,Felipe,0.513106525,M,NonCore
782,Shawn,32.4156591,M,NonCore
783,Irina,0,F,NonCore
784,Andrea,3.372093023,F,NonCore
